y1_statefips,y2_statefips,y2_state,y2_state_name,n1,n2,AGI
15,51,VA,Virginia,1326,3180,108790
15,8,CO,Colorado,1166,2382,177842
15,4,AZ,Arizona,1112,2114,71084
15,41,OR,Oregon,983,1686,52486
15,57,FR,Foreign,913,2164,72981
15,37,NC,North Carolina,866,1959,54217
15,13,GA,Georgia,815,1863,47739
15,49,UT,Utah,659,1558,34603
15,36,NY,New York,640,1112,41339
15,24,MD,Maryland,573,1185,43909
15,47,TN,Tennessee,466,1058,32538
15,29,MO,Missouri,419,909,26122
15,45,SC,South Carolina,404,906,27872
15,17,IL,Illinois,392,735,22655
15,39,OH,Ohio,370,734,17713
15,42,PA,Pennsylvania,340,662,24835
15,26,MI,Michigan,298,540,17172
15,40,OK,Oklahoma,292,721,14997
15,2,AK,Alaska,281,561,15681
15,1,AL,Alabama,270,628,18728
15,16,ID,Idaho,267,580,21714
15,20,KS,Kansas,264,678,15526
15,25,MA,Massachusetts,236,422,14532
15,21,KY,Kentucky,224,532,13101
15,18,IN,Indiana,218,439,12801
15,27,MN,Minnesota,208,364,10773
15,22,LA,Louisiana,207,454,11169
15,34,NJ,New Jersey,194,331,11039
15,19,IA,Iowa,193,386,7174
